symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2026-08-03 09:26:00+00:00,750.44,750.44,750.44,750.44,134.0,9.0,750.44
SPY,2026-08-03 09:27:00+00:00,750.42,750.42,750.41,750.41,200.0,12.0,750.413774
SPY,2026-08-03 09:29:00+00:00,750.43,750.5,750.43,750.5,363.0,9.0,750.444964
SPY,2026-08-03 09:30:00+00:00,750.45,750.45,750.44,750.44,504.0,11.0,750.44084
SPY,2026-08-03 09:31:00+00:00,750.46,750.49,750.46,750.47,1187.0,18.0,750.475517
SPY,2026-08-03 09:32:00+00:00,750.64,750.64,750.64,750.64,767.0,8.0,750.64
SPY,2026-08-03 09:33:00+00:00,750.59,750.59,750.53,750.53,1026.0,14.0,750.559939
SPY,2026-08-03 09:35:00+00:00,750.5652,750.71,750.5652,750.71,933.0,16.0,750.607778
SPY,2026-08-03 09:36:00+00:00,750.75,750.75,750.63,750.63,1050.0,17.0,750.644286
SPY,2026-08-03 09:37:00+00:00,750.6445,750.67,750.6,750.6,282.0,13.0,750.640381
SPY,2026-08-03 09:39:00+00:00,750.5,750.5,750.5,750.5,150.0,12.0,750.5
SPY,2026-08-03 09:40:00+00:00,750.56,750.56,750.55,750.55,539.0,6.0,750.558
SPY,2026-08-03 09:41:00+00:00,750.57,750.57,750.55,750.55,222.0,10.0,750.556818
SPY,2026-08-03 09:42:00+00:00,750.68,750.68,750.68,750.68,47.0,6.0,750.68
SPY,2026-08-03 09:43:00+00:00,750.62,750.62,750.62,750.62,133.0,3.0,750.62
SPY,2026-08-03 09:44:00+00:00,750.54,750.54,750.54,750.54,146.0,13.0,750.54
SPY,2026-08-03 09:45:00+00:00,750.63,750.63,750.63,750.63,53.0,5.0,750.63
SPY,2026-08-03 09:47:00+00:00,750.66,750.7,750.66,750.7,127.0,5.0,750.68
SPY,2026-08-03 09:48:00+00:00,750.61,750.61,750.61,750.61,379.0,7.0,750.61
SPY,2026-08-03 09:49:00+00:00,750.63,750.67,750.5,750.5,557.0,7.0,750.613755
SPY,2026-08-03 09:50:00+00:00,750.48,750.48,750.41,750.41,511.0,14.0,750.458089
SPY,2026-08-03 09:51:00+00:00,750.35,750.35,750.35,750.35,229.0,8.0,750.35
SPY,2026-08-03 09:52:00+00:00,750.29,750.3,750.26,750.27,978.0,17.0,750.275638
SPY,2026-08-03 09:54:00+00:00,750.36,750.38,750.36,750.38,264.0,9.0,750.368333
SPY,2026-08-03 09:56:00+00:00,750.66,750.66,750.66,750.66,107.0,5.0,750.66
SPY,2026-08-03 09:57:00+00:00,750.57,750.63,750.57,750.6,2309.0,6.0,750.601004
SPY,2026-08-03 09:58:00+00:00,750.58,750.58,750.58,750.58,59.0,5.0,750.58
SPY,2026-08-03 10:00:00+00:00,750.6,750.6,750.6,750.6,195.0,39.0,750.6
